"","Chestnut_contig","gene_number"
"1","contig0000009",32
"2","contig0000012",26
"3","contig0000014",40
"4","contig0000017",34
"5","contig0000018",20
"6","contig0000021",52
"7","contig0000023",21
"8","contig0000024",38
"9","contig0000025",44
"10","contig0000027",36
"11","contig0000029",26
"12","contig0000030",45
"13","contig0000032",30
"14","contig0000034",36
"15","contig0000037",34
"16","contig0000039",16
"17","contig0000040",30
"18","contig0000041",19
"19","contig0000042",26
"20","contig0000043",36
"21","contig0000044",35
"22","contig0000047",23
"23","contig0000048",22
"24","contig0000050",18
"25","contig0000051",13
"26","contig0000053",21
"27","contig0000054",19
"28","contig0000055",25
"29","contig0000056",25
"30","contig0000059",16
"31","contig0000060",15
"32","contig0000062",25
"33","contig0000063",25
"34","contig0000064",26
"35","contig0000065",41
"36","contig0000066",30
"37","contig0000067",27
"38","contig0000069",23
"39","contig0000070",10
"40","contig0000072",18
"41","contig0000073",27
"42","contig0000075",30
"43","contig0000076",22
"44","contig0000077",35
"45","contig0000078",30
"46","contig0000080",34
"47","contig0000082",33
"48","contig0000084",23
"49","contig0000086",21
"50","contig0000087",37
"51","contig0000088",36
"52","contig0000090",11
"53","contig0000091",21
"54","contig0000092",26
"55","contig0000093",32
"56","contig0000094",17
"57","contig0000095",31
"58","contig0000096",21
"59","contig0000097",25
"60","contig0000098",14
"61","contig0000099",22
"62","contig0000100",18
"63","contig0000101",11
"64","contig0000102",12
"65","contig0000103",19
"66","contig0000104",23
"67","contig0000105",28
"68","contig0000106",19
"69","contig0000107",23
"70","contig0000108",20
"71","contig0000109",23
"72","contig0000110",15
"73","contig0000111",15
"74","contig0000112",20
"75","contig0000113",22
"76","contig0000114",35
"77","contig0000115",17
"78","contig0000117",18
"79","contig0000119",30
"80","contig0000121",9
"81","contig0000122",23
"82","contig0000124",33
"83","contig0000125",15
"84","contig0000126",18
"85","contig0000127",18
"86","contig0000128",28
"87","contig0000129",23
"88","contig0000130",22
"89","contig0000131",21
"90","contig0000132",29
"91","contig0000133",22
"92","contig0000134",14
"93","contig0000135",15
"94","contig0000136",24
"95","contig0000137",14
"96","contig0000138",24
"97","contig0000139",21
"98","contig0000140",22
"99","contig0000141",17
"100","contig0000142",9
"101","contig0000143",9
"102","contig0000145",19
"103","contig0000146",16
"104","contig0000147",18
"105","contig0000148",22
"106","contig0000149",27
"107","contig0000150",26
"108","contig0000151",21
"109","contig0000152",9
"110","contig0000154",27
"111","contig0000156",19
"112","contig0000159",24
"113","contig0000160",22
"114","contig0000161",20
"115","contig0000162",22
"116","contig0000163",23
"117","contig0000164",11
"118","contig0000165",17
"119","contig0000166",16
"120","contig0000167",23
"121","contig0000168",31
"122","contig0000170",16
"123","contig0000171",22
"124","contig0000172",10
"125","contig0000173",23
"126","contig0000174",15
"127","contig0000176",32
"128","contig0000177",8
"129","contig0000179",12
"130","contig0000180",17
"131","contig0000181",19
"132","contig0000182",17
"133","contig0000183",8
"134","contig0000184",9
"135","contig0000186",26
"136","contig0000187",19
"137","contig0000189",24
"138","contig0000190",18
"139","contig0000191",28
"140","contig0000193",16
"141","contig0000194",5
"142","contig0000195",22
"143","contig0000197",8
"144","contig0000198",17
"145","contig0000199",20
"146","contig0000200",14
"147","contig0000202",9
"148","contig0000203",17
"149","contig0000205",12
"150","contig0000206",25
"151","contig0000207",21
"152","contig0000208",23
"153","contig0000209",14
"154","contig0000210",23
"155","contig0000211",15
"156","contig0000212",11
"157","contig0000213",21
"158","contig0000214",18
"159","contig0000215",10
"160","contig0000216",26
"161","contig0000217",18
"162","contig0000218",6
"163","contig0000219",16
"164","contig0000220",27
"165","contig0000221",25
"166","contig0000222",11
"167","contig0000223",22
"168","contig0000224",17
"169","contig0000226",14
"170","contig0000227",23
"171","contig0000228",16
"172","contig0000229",23
"173","contig0000230",16
"174","contig0000231",17
"175","contig0000232",14
"176","contig0000233",17
"177","contig0000234",4
"178","contig0000235",19
"179","contig0000236",20
"180","contig0000237",16
"181","contig0000238",16
"182","contig0000240",28
"183","contig0000241",10
"184","contig0000242",26
"185","contig0000243",17
"186","contig0000245",17
"187","contig0000246",14
"188","contig0000247",11
"189","contig0000248",22
"190","contig0000249",18
"191","contig0000250",16
"192","contig0000251",11
"193","contig0000252",13
"194","contig0000253",24
"195","contig0000254",12
"196","contig0000255",25
"197","contig0000256",26
"198","contig0000258",22
"199","contig0000259",19
"200","contig0000260",15
"201","contig0000261",18
"202","contig0000262",11
"203","contig0000264",13
"204","contig0000265",23
"205","contig0000267",14
"206","contig0000268",24
"207","contig0000269",9
"208","contig0000271",25
"209","contig0000273",17
"210","contig0000274",18
"211","contig0000275",16
"212","contig0000276",13
"213","contig0000278",13
"214","contig0000279",12
"215","contig0000280",17
"216","contig0000281",23
"217","contig0000282",15
"218","contig0000283",13
"219","contig0000284",24
"220","contig0000285",24
"221","contig0000287",19
"222","contig0000288",13
"223","contig0000289",15
"224","contig0000291",21
"225","contig0000292",18
"226","contig0000293",16
"227","contig0000294",10
"228","contig0000295",14
"229","contig0000296",9
"230","contig0000298",17
"231","contig0000299",10
"232","contig0000300",15
"233","contig0000301",18
"234","contig0000302",13
"235","contig0000303",16
"236","contig0000305",12
"237","contig0000306",13
"238","contig0000307",14
"239","contig0000308",16
"240","contig0000309",18
"241","contig0000310",16
"242","contig0000312",12
"243","contig0000313",16
"244","contig0000315",20
"245","contig0000316",14
"246","contig0000317",24
"247","contig0000318",11
"248","contig0000319",5
"249","contig0000320",18
"250","contig0000321",6
"251","contig0000322",5
"252","contig0000323",14
"253","contig0000324",6
"254","contig0000327",19
"255","contig0000328",20
"256","contig0000330",22
"257","contig0000331",15
"258","contig0000333",20
"259","contig0000335",13
"260","contig0000336",11
"261","contig0000337",10
"262","contig0000338",9
"263","contig0000339",21
"264","contig0000340",16
"265","contig0000341",21
"266","contig0000342",10
"267","contig0000343",16
"268","contig0000344",15
"269","contig0000345",18
"270","contig0000346",18
"271","contig0000347",10
"272","contig0000348",27
"273","contig0000349",26
"274","contig0000350",14
"275","contig0000351",19
"276","contig0000352",8
"277","contig0000353",20
"278","contig0000354",20
"279","contig0000355",11
"280","contig0000356",15
"281","contig0000357",15
"282","contig0000358",7
"283","contig0000359",13
"284","contig0000360",16
"285","contig0000361",10
"286","contig0000363",20
"287","contig0000364",11
"288","contig0000365",16
"289","contig0000366",8
