marker_name,LG,pos,Anchored_PhysicalMap,GO_function,GO_molecular
CmSI0385 ,A ,0,Yes,  , 
CmSNP01340 ,A ,1.1,Yes,Yes ,Yes
CmSNP01086 ,A ,3.5,Yes,Yes ,Yes
CmSNP00635 ,A ,6.9,Yes,Yes ,Yes
CmSI0407 ,A ,7.5,Yes,  , 
CmSNP00135 ,A ,8.5, ,  , 
CmSI0525 ,A ,9.1,Yes,  , 
CmSNP01101 ,A ,13.4, ,  , 
CmSNP00862 ,A ,14.8, ,  , 
CmSNP00251 ,A ,17.1,Yes,Yes ,Yes
CmSNP01050 ,A ,19.5,Yes,  , 
CmSNP00977 ,A ,20.8, ,Yes ,Yes
CmSI0519 ,A ,23,Yes,  , 
CmSI0547 ,A ,24.1,Yes,  , 
CmSNP01286 ,A ,25,Yes,Yes ,Yes
CmSNP01346 ,A ,25.7,Yes,Yes ,Yes
CmSNP00137 ,A ,26, ,Yes , 
CmSNP00160 ,A ,27.3, ,  , 
CmSI0262 ,A ,28.5, ,  , 
CmSNP01118 ,A ,29.1, ,Yes ,Yes
CmSNP00444 ,A ,31.1,Yes,  , 
CmSNP00662 ,A ,31.1,Yes,  , 
CmSNP01203 ,A ,32.7, ,  , 
CmSNP00003 ,A ,33.2,Yes,Yes , 
CmSNP00686 ,A ,33.5,Yes,  , 
CmSNP01292 ,A ,34, ,  , 
CmSNP00576 ,A ,34.4, ,Yes , 
CmSNP00667 ,A ,34.4, ,Yes , 
CmSI0926 ,A ,35.5, ,Yes ,Yes
CmSNP01504 ,A ,35.8, ,Yes ,Yes
CmSNP00042 ,A ,36.6, ,Yes ,Yes
CmSNP00138 ,A ,36.6,Yes,Yes ,Yes
CmSNP00002 ,A ,36.6, ,Yes , 
CmSI0616 ,A ,37.8,Yes,Yes ,Yes
CmSI0613 ,A ,37.9,Yes,  , 
CmSI0187 ,A ,38.3,Yes,Yes , 
CmSNP00116 ,A ,38.3, ,  , 
CmSNP01420 ,A ,38.6,Yes,  , 
CmSNP00453 ,A ,39.3, ,  , 
CmSI0884 ,A ,39.7, ,  , 
CmSNP00281 ,A ,39.9, ,  , 
CmSI0520 ,A ,40.1,Yes,  , 
CmSI0537 ,A ,41.4,Yes,  , 
CmSNP01188 ,A ,41.6,Yes,  , 
CmSNP00652 ,A ,42.1,Yes,Yes ,Yes
CmSNP01484 ,A ,42.1,Yes,Yes ,Yes
CmSI0033 ,A ,42.1, ,  , 
CmSI0667 ,A ,42.1, ,  , 
CmSNP00416 ,A ,42.1,Yes,  , 
CmSNP00915 ,A ,42.1, ,  , 
CmSNP01246 ,A ,42.4, ,Yes , 
CmSNP00647 ,A ,42.7, ,Yes ,Yes
CmSNP01081 ,A ,42.7, ,Yes ,Yes
CmSNP00298 ,A ,42.7, ,  , 
CmSNP00732 ,A ,42.9, ,  , 
CmSNP00473 ,A ,43,Yes,  , 
CmSNP00368 ,A ,44.4,Yes,Yes ,Yes
CmSNP00290 ,A ,44.4,Yes,  , 
CmSNP00586 ,A ,44.4,Yes,Yes , 
CmSNP01435 ,A ,44.6, ,Yes ,Yes
CmSNP00881 ,A ,45.2,Yes,Yes , 
CmSNP00044 ,A ,45.8,Yes,  , 
CmSNP00831 ,A ,46.1, ,  , 
CmSNP00032 ,A ,46.2, ,Yes ,Yes
CmSNP01112 ,A ,46.2, ,  , 
CmSNP00535 ,A ,46.5, ,  , 
CmSNP01161 ,A ,47.1, ,  , 
CmSNP00059 ,A ,47.2, ,  , 
CmSNP00608 ,A ,47.2, ,  , 
CmSNP00725 ,A ,47.3, ,Yes ,Yes
CmSNP00613 ,A ,47.3,Yes,  , 
CmSI0281 ,A ,47.6, ,  , 
CmSI0666 ,A ,47.6,Yes,  , 
CmSNP01424 ,A ,47.6, ,  , 
CmSNP00739 ,A ,48, ,  , 
CmSNP00057 ,A ,48.2, ,Yes ,Yes
CmSNP00609 ,A ,48.2, ,  , 
CmSNP01083 ,A ,48.3, ,  , 
CmSNP00092 ,A ,49.1, ,Yes ,Yes
CmSNP01113 ,A ,49.5, ,Yes , 
CmSNP01383 ,A ,50.5, ,Yes ,Yes
CmSI0644 ,A ,50.8,Yes,  , 
CmSNP00649 ,A ,51.2,Yes,  , 
CmSNP01325 ,A ,51.2,Yes,  , 
CmSNP00369 ,A ,52,Yes,Yes , 
CmSNP01274 ,A ,52.6, ,  , 
CmSNP00005 ,A ,53,Yes,Yes ,Yes
CmSNP00658 ,A ,53.5,Yes,  , 
CmSNP01209 ,A ,53.6, ,Yes ,Yes
CmSNP00656 ,A ,54.7, ,Yes , 
CmSNP00598 ,A ,54.9, ,  , 
CmSNP01438 ,A ,55.2,Yes,Yes ,Yes
CmSI0510 ,A ,55.3,Yes,  , 
CmSNP00317 ,A ,55.3,Yes,Yes , 
CmSNP00939 ,A ,55.3,Yes,  , 
CmSNP01382 ,A ,55.6,Yes,Yes ,Yes
CmSI0947 ,A ,55.7, ,  , 
CmSNP00153 ,A ,55.9, ,Yes ,Yes
CmSNP00926 ,A ,55.9, ,  , 
CmSI0825 ,A ,56.1,Yes,Yes ,Yes
CmSNP00191 ,A ,56.2, ,  , 
CmSNP01149 ,A ,56.2, ,Yes , 
CmSNP00560 ,A ,56.3, ,  , 
CmSNP00542 ,A ,56.4,Yes,Yes ,Yes
CmSNP01257 ,A ,56.4, ,Yes ,Yes
CmSNP00841 ,A ,56.4,Yes,  , 
