Markers	cM	LG
CCallv2c8310_1411	0	A
CCallv2c8970_380	1.131	A
CCallv2c14185_1058	11.144	A
CmSI0684	16.204	A
CmSI0385	16.341	A
CmSI0910	17.041	A
CmSNP01340	17.501	A
CmSI0885	18.354	A
CmSNP01473	20.09	A
CmSNP01086	21.137	A
CCallv2c309_1034	21.489	A
CmSNP00635	22.955	A
CmSI0407	23.773	A
CmSNP00135	24.496	A
CCallv2c39220_141	25.077	A
CmSI0525	26.526	A
CmSNP01101	28.853	A
CmSNP00862	30.78	A
CmSI0378	31.172	A
CmSI0843	31.688	A
CmSNP00693	32.89	A
CmSI0391	34.196	A
CmSI0662	34.394	A
CmSNP00552	35.108	A
CmSNP01050	35.44	A
CCallv2c14656_922	36.763	A
CmSNP00382	37.601	A
CmSI0519	38.633	A
CmSNP00498	39.201	A
CmSNP00129	39.781	A
CmSI0711	40.13	A
CmSNP01073	41.119	A
CmSNP00333	41.311	A
CmSNP00137	41.607	A
CmSNP01279	42.141	A
CmSNP00160	42.963	A
CmSNP01134	43.022	A
CmSNP00843	43.225	A
CmSI0262	44.174	A
CmSNP01516	44.798	A
CmSNP01118	44.894	A
CmSI0543	45.818	A
CmSNP01058	46.318	A
CmSNP01286	47.494	A
CmSNP01255	47.691	A
CmSNP01203	47.691	A
CmSNP01346	48.336	A
CmSNP00463	48.36	A
CmSNP00049	48.568	A
CmSNP00686	49.084	A
CmSNP00549	49.337	A
CmSI0845	49.479	A
CmSNP00817	49.643	A
CmSNP00867	50.27	A
CmSNP00576	50.356	A
CmSNP00667	50.356	A
CmSNP01278	50.866	A
CmSNP00759	51.063	A
CmSNP00042	51.133	A
CmSNP01292	51.218	A
CmSNP01178	51.284	A
CmSNP00743	51.722	A
CmSNP01504	52.346	A
CmSNP00002	52.628	A
CmSNP00484	52.93	A
CmSI0868	53.471	A
CmSNP01420	53.814	A
CmSNP00138	53.895	A
CmSNP00116	54.343	A
CmSI0187	54.632	A
CmSI0884	55.833	A
CmSI0520	56.285	A
CCallv2c42771_328	56.393	A
CmSNP00281	57.264	A
CmSNP00380	57.433	A
CmSNP01012	57.723	A
CmSNP00647	57.726	A
CmSNP00298	57.726	A
CmSNP00097	57.795	A
CmSNP01188	57.795	A
CmSI0865	57.956	A
CmSNP00655	58.053	A
CmSI0893	58.243	A
CmSI0033	58.536	A
CmSI0683	58.58	A
CmSI0871	58.744	A
CmSNP00416	58.79	A
CmSI0537	59.05	A
CmSNP01246	59.325	A
CmSNP00473	60.011	A
CmSI0667	60.353	A
CmSNP00732	60.639	A
CmSNP00290	61.275	A
CmSNP01435	61.57	A
CmSNP00881	61.87	A
CmSNP00586	62.038	A
CmSNP00044	62.082	A
CmSNP01080	62.23	A
CmSNP00059	62.386	A
CmSNP00612	62.454	A
CmSNP00032	62.503	A
CmSNP00535	62.828	A
CmSNP00264	62.909	A
CmSNP01424	63.088	A
CmSNP00831	63.433	A
CmSNP01161	63.583	A
CmSNP00613	63.63	A
CmSNP01083	63.744	A
CmSNP00095	63.744	A
CmSI0666	64.367	A
CmSNP00725	64.565	A
CmSNP00739	64.811	A
CmSNP00057	64.938	A
CmSNP00609	65.404	A
CmSNP01113	65.843	A
CmSNP00092	65.917	A
CmSI0644	67.667	A
CmSNP01325	67.962	A
CmSNP00369	68.479	A
CmSNP01274	68.733	A
CmSNP00005	69.31	A
CmSNP01382	69.777	A
CmSNP01209	70.334	A
CmSNP00926	70.395	A
CmSNP01149	70.874	A
CmSNP00656	71.403	A
CmSNP00317	71.517	A
CmSNP01438	71.851	A
CmSNP00153	72.112	A
CmSNP00560	72.214	A
CmSNP00191	72.359	A
CmSI0947	72.459	A
CmSI0825	72.541	A
CmSNP00598	72.766	A
CmSNP00542	72.861	A
CmSNP01165	72.953	A
CmSNP00233	73.13	A
CmSNP00310	73.502	A
CmSNP01316	73.524	A
CmSI0742	73.561	A
CmSI0510	73.66	A
CmSNP00992	73.894	A
CmSI0818	74.688	A
CmSI0514	74.921	A
CCallv2c5790_816	75.037	A
CmSNP00897	75.048	A
CmSI0315	75.555	A
CmSNP00199	75.579	A
CCallv2c38979_883	75.598	A
CmSNP00547	75.731	A
CmSNP00206	76.164	A
CmSNP01234	76.617	A
CmSNP00519	76.683	A
CmSI0923	77.18	A
CmSI0756	77.903	A
CmSNP01351	78.008	A
CCallv2c6273_540	78.387	A
CmSNP00802	79.291	A
CCallv2c5620_385	79.711	A
CmSNP00569	81.163	A
CmSI0365	81.294	A
CmSNP00315	81.618	A
CmSNP00034	82.033	A
CCallv2c3029_393	82.148	A
CmSNP01005	82.239	A
CCallv2c45708_272	82.948	A
CCallv2c40204_315	83.707	A
CmSI0247	84.243	A
CCallv2c6040_553	84.6	A
CmSNP00258	86.24	A
CmSI0909	89.174	A
CmSNP00420	89.294	A
CmSI0498	89.823	A
CCallv2c40729_430	90.691	A
CmSNP00345	91.6	A
CmSNP01371	92.168	A
CmSNP00155	92.537	A
CmSNP00531	94.346	A
CmSNP01519	95.38	A
CmSI0769	95.707	A
CmSNP01400	97.171	A
CCallv2c5412_324	99.125	A
CmSNP01181	99.47	A
CmSNP01252	102.72	A
CmSNP00254	103.07	A
CmSNP00174	104.177	A
CCallv2c705_388	104.666	A
CmSNP00969	106.222	A
CCallv2c1624_385	107.206	A
CCallv2c14775_1143	108.894	A
CCallv2c9568_339	112.034	A
CCallv2c483_256	119.709	A
CCallv2c40736_1958	133.91	A
CCallv2c31229_1519	0	B
CCallv2c9360_1069	2.785	B
CCallv2c3640_220	4.053	B
CCallv2c39528_362	7.146	B
CCallv2c21024_363	7.883	B
CCallv2c46220_435	8.124	B
CCallv2c30088_615	9.455	B
CCallv2c877_193	9.861	B
CCallv2c4967_666	10.029	B
CCallv2c43637_4402	10.502	B
CCallv2c27877_209	13.183	B
CCallv2c31972_1036	13.381	B
CmSNP00852	20.067	B
CmSNP01511	22.97	B
CCallv2c366_206	23.298	B
CmSNP01171	24.258	B
CmSI0941	24.985	B
CmSNP01490	25.362	B
CmSNP00128	25.698	B
CmSNP01085	26.252	B
CmSNP00602	26.53	B
CmSNP01455	26.673	B
CCallv2c32191_500	26.885	B
CmSNP00968	28.13	B
CmSNP00692	28.559	B
CCallv2c6462_619	29.392	B
CmSI0899	31.029	B
CmSNP00917	32.942	B
CCallv2c9236_529	33.758	B
CCallv2c6200_521	34.349	B
CmSI0859	35.671	B
CmSNP00539	36.131	B
CmSNP00372	36.796	B
CCallv2c42184_551	37.743	B
CmSI0533	38.827	B
CmSNP00623	39.342	B
CmSI0682	39.968	B
CmSNP01173	40.194	B
CmSNP00133	41.272	B
CmSNP00565	43.094	B
CmSNP00769	43.244	B
CmSNP01479	44.579	B
CmSNP00979	44.966	B
CmSNP00614	46.011	B
CmSNP00210	46.394	B
CmSNP00367	46.985	B
CmSNP01027	47.718	B
CmSI0049	47.904	B
CmSNP00763	47.962	B
CmSI0766	48.037	B
CmSNP01370	48.158	B
CmSNP01260	48.192	B
CmSNP00458	48.445	B
CmSNP00524	48.501	B
CmSNP00621	48.518	B
CmSNP00139	48.714	B
CmSNP00719	49.069	B
CmSNP00291	49.168	B
CmSNP00945	49.178	B
CmSNP00046	49.381	B
CmSI0632	49.713	B
CmSNP01323	49.778	B
CmSNP01138	49.888	B
CmSNP01281	50.375	B
CmSI0842	50.685	B
CmSNP00668	50.866	B
CmSNP01315	50.883	B
CmSI0770	50.899	B
CmSNP00259	51.194	B
CmSNP00756	51.399	B
CmSI0495	51.539	B
CmSNP00438	51.782	B
CmSI0631	52.215	B
CmSI0565	52.357	B
CmSI0804	52.409	B
CmSNP00156	53.167	B
CmSNP00780	53.601	B
CmSNP00577	53.748	B
CmSI0266	53.908	B
CmSNP01002	54.006	B
CmSI0180	54.037	B
CmSNP00990	54.098	B
CmSNP00304	54.383	B
CmSNP00520	55.424	B
CmSNP00004	55.687	B
CmSNP01380	57.086	B
CmSI0509	57.385	B
CmSI0873_a	57.908	B
CmSNP01164	59.22	B
CmSNP00051	60.96	B
CmSI0550	61.096	B
CmSNP00779	61.192	B
CmSNP00620	62.049	B
CmSNP00378	62.055	B
CmSI0866	62.352	B
CmSNP00184	62.432	B
CmSI0715	63.644	B
CmSNP00889	65.595	B
CmSNP00186	65.831	B
CmSNP00883	66.822	B
CmSNP00851	67.514	B
CmSNP00086	67.604	B
CmSI0823	68.04	B
CmSNP00758	69.278	B
CmSNP01338	69.314	B
CmSNP00344	73.489	B
CmSI0027	73.954	B
CmSNP01036	74.688	B
CmSNP00567	75.241	B
CmSNP00847	75.241	B
CCallv2c21911_384	75.537	B
CmSNP00645	75.983	B
CmSNP00311	76.162	B
CmSNP00400	76.934	B
CmSNP00854	79.033	B
CCallv2c20405_665	83.686	B
CCallv2c18958_171	90.066	B
CCallv2c29059_890	91.397	B
CCallv2c8839_764	0	C
CCallv2c9245_228	4.042	C
CCallv2c45178_116	5.836	C
CCallv2c13995_1263	10.172	C
CCallv2c2164_242	16.192	C
CmSI0747	20.008	C
CmSNP01141	21.119	C
CmSNP00339	24.594	C
CmSNP01476	25.839	C
CmSI0763	26.616	C
CmSNP01532	27.31	C
CmSNP00616	27.496	C
