Markers	Cm	LG
CCallv2c40546_331	0	A
CCallv2c8310_1411	0.083	A
CCallv2c8970_380	1.214	A
CmSI0684	16.282	A
CmSI0385	16.422	A
CmSI0910	17.119	A
CmSNP01340	17.586	A
CmSI0885	18.432	A
CmSNP01473	20.168	A
CCallv2c309_1034	20.827	A
CmSNP01086	21.21	A
CmSNP00635	23.045	A
CmSI0407	23.866	A
CmSNP00135	24.577	A
CCallv2c39220_141	25.177	A
CmSI0525	26.59	A
CmSNP01101	28.921	A
CmSNP00862	30.884	A
CmSI0378	31.268	A
CmSI0843	31.773	A
CmSNP00693	32.976	A
CmSI0391	34.303	A
CmSI0662	34.502	A
CmSNP00552	35.215	A
CmSNP01050	35.551	A
CCallv2c14656_922	36.901	A
CmSNP00382	37.694	A
CmSI0519	38.738	A
CmSNP00498	39.298	A
CmSNP00129	39.893	A
CmSI0711	40.212	A
CmSNP01073	41.222	A
CmSNP00333	41.433	A
CmSNP00137	41.72	A
CmSNP01279	42.262	A
CmSNP00160	43.077	A
CmSNP01134	43.151	A
CmSNP00843	43.338	A
CmSI0262	44.306	A
CmSNP01516	44.933	A
CmSNP01118	45.013	A
CmSI0543	45.907	A
CmSNP01058	46.407	A
CmSNP01286	47.613	A
CmSNP01255	47.826	A
CmSNP01203	47.826	A
CmSNP01346	48.457	A
CmSNP00463	48.471	A
CmSNP00049	48.679	A
CmSNP00686	49.218	A
CmSNP00549	49.445	A
CmSI0845	49.573	A
CmSNP00817	49.677	A
CmSNP00867	50.361	A
CmSNP00576	50.457	A
CmSNP00667	50.457	A
CmSNP01278	51.006	A
CmSNP00759	51.213	A
CmSNP00042	51.27	A
CmSNP01292	51.331	A
CmSNP01178	51.364	A
CmSNP00743	51.859	A
CmSNP01504	52.453	A
CmSNP00002	52.732	A
CmSNP00484	53.08	A
CmSI0868	53.526	A
CmSNP01420	53.955	A
CmSNP00138	53.978	A
CmSI0383	54.188	A
CmSNP00116	54.495	A
CmSI0187	54.786	A
CmSI0884	55.968	A
CmSI0520	56.396	A
CCallv2c42771_328	56.652	A
CmSNP00281	57.359	A
CmSNP00380	57.686	A
CmSNP00298	57.828	A
CmSNP00647	57.828	A
CmSNP01012	57.979	A
CmSNP01188	58.053	A
CmSNP00097	58.053	A
CmSI0865_a	58.053	A
CmSNP00655	58.256	A
CmSI0893	58.455	A
CmSNP00416	58.652	A
CmSI0033	58.703	A
CmSI0683	58.816	A
CmSI0871	58.984	A
CmSI0537	59.204	A
CmSNP01246	59.463	A
CmSNP00473	60.156	A
CmSI0667	60.53	A
CmSNP00732	60.851	A
CmSNP00290	61.415	A
CmSNP01435	61.764	A
CmSNP00881	62.021	A
CmSNP00044	62.221	A
CmSNP00586	62.247	A
CmSNP01080	62.452	A
CmSNP00059	62.504	A
CmSNP00032	62.629	A
CmSNP00612	62.671	A
CmSNP00535	62.963	A
CmSNP00264	63.102	A
CmSNP01424	63.198	A
CmSNP00831	63.624	A
CmSNP00613	63.738	A
CmSNP01161	63.751	A
CmSNP01083	63.852	A
CmSNP00095	63.852	A
CmSI0666	64.552	A
CmSNP00725	64.746	A
CmSNP00739	65.014	A
CmSNP00057	65.115	A
CmSNP00609	65.549	A
CmSNP01113	65.965	A
CmSNP00092	66.098	A
CmSI0644	67.851	A
CmSNP01325	68.142	A
CmSNP00369	68.612	A
CmSNP01274	68.91	A
CmSNP00005	69.423	A
CmSNP01382	69.92	A
CCallv2c45938_1701	70.416	A
CmSNP01209	70.422	A
CmSNP00926	70.54	A
CmSNP01149	71.019	A
CmSNP00656	71.558	A
CmSNP00317	71.639	A
CCallv2c44590_1040	71.645	A
CmSNP01438	71.996	A
CmSNP00153	72.231	A
CmSNP00560	72.377	A
CmSNP00191	72.476	A
CmSI0825	72.683	A
CmSI0947	72.772	A
CmSNP00598	72.991	A
CmSNP00542	73.038	A
CmSNP01165	73.13	A
CmSNP00233	73.245	A
CmSNP00310	73.681	A
CmSNP01316	73.69	A
CmSI0742	73.703	A
CmSNP00992	74.043	A
CmSI0818	74.797	A
CCallv2c38979_883	74.916	A
CmSNP00897	75.04	A
CmSI0514	75.116	A
CmSNP00199	75.666	A
CmSI0315	75.817	A
CmSNP00547	75.886	A
CmSI0923_a	76.035	A
CmSNP00206	76.341	A
CmSNP01234	76.851	A
CmSNP00519	76.924	A
CCallv2c6273_540_c	77.459	A
CmSI0756	78.02	A
CmSI0923	78.268	A
CmSNP01351	78.268	A
CmSNP00802	79.398	A
CCallv2c5790_816	79.644	A
CCallv2c5620_385	80.793	A
CCallv2c28740_574	81.071	A
CmSNP00569	81.356	A
CmSI0365	81.475	A
CmSNP00315	81.719	A
CCallv2c7576_1081	82.061	A
CmSNP00034	82.142	A
CCallv2c3187_830	82.214	A
CmSNP01005	82.429	A
CCallv2c3029_393	82.948	A
CCallv2c45708_272	84.047	A
CmSI0247	84.359	A
CCallv2c40204_315	85.095	A
CCallv2c6040_553	86.216	A
CmSNP00258	86.352	A
CmSI0909	89.291	A
CmSNP00420	89.421	A
CmSI0498	89.938	A
CmSNP00345	91.726	A
CmSNP01371	92.279	A
CmSNP00155	92.648	A
CmSNP00531	94.46	A
CmSNP01519	95.485	A
CmSI0769	95.833	A
CmSNP01400	97.279	A
CmSNP01181	99.583	A
CCallv2c5412_324	100.265	A
CmSNP01252	102.828	A
CmSNP00254	103.184	A
CmSNP00174	104.285	A
CCallv2c749_434	104.438	A
CCallv2c705_388	104.794	A
CmSNP00969	106.335	A
CCallv2c1624_385	107.443	A
CCallv2c14775_1143	109.118	A
CCallv2c9568_339	112.256	A
CCallv2c483_256	119.953	A
CCallv2c40736_1958	134.163	A
CCallv2c31229_1519	0	B
CCallv2c9360_1069	2.785	B
CCallv2c3640_220	4.053	B
CCallv2c39528_362	7.146	B
CCallv2c21024_363	7.883	B
CCallv2c46220_435	8.124	B
CCallv2c30088_615	9.455	B
CCallv2c877_193	9.861	B
CCallv2c4967_666	10.029	B
CCallv2c43637_4402	10.502	B
CCallv2c27877_209	13.183	B
CCallv2c31972_1036	13.381	B
CmSNP00852	20.067	B
CmSNP01511	22.97	B
CCallv2c366_206	23.298	B
CmSNP01171	24.258	B
CmSI0941	24.985	B
CmSNP01490	25.362	B
CmSNP00128	25.698	B
CmSNP01085	26.252	B
CmSNP00602	26.53	B
CmSNP01455	26.673	B
CCallv2c32191_500	26.885	B
CmSNP00968	28.13	B
CmSNP00692	28.559	B
CCallv2c6462_619	29.392	B
CmSI0899	31.029	B
CmSNP00917	32.942	B
CCallv2c9236_529	33.758	B
CCallv2c6200_521	34.349	B
CmSI0859	35.671	B
CmSNP00539	36.131	B
CmSNP00372	36.796	B
CCallv2c42184_551	37.743	B
CmSI0533	38.827	B
CmSNP00623	39.342	B
CmSI0682	39.968	B
CmSNP01173	40.194	B
CmSNP00133	41.272	B
CmSNP00565	43.094	B
CmSNP00769	43.244	B
CmSNP01479	44.579	B
CmSNP00979	44.966	B
CmSNP00614	46.011	B
CmSNP00210	46.394	B
CmSNP00367	46.985	B
CmSNP01027	47.718	B
CmSI0049	47.904	B
CmSNP00763	47.962	B
CmSI0766	48.037	B
CmSNP01370	48.158	B
CmSNP01260	48.192	B
CmSNP00458	48.445	B
CmSNP00524	48.501	B
CmSNP00621	48.518	B
CmSNP00139	48.714	B
CmSNP00719	49.069	B
CmSNP00291	49.168	B
CmSNP00945	49.178	B
CmSNP00046	49.381	B
CmSI0632	49.713	B
CmSNP01323	49.778	B
CmSNP01138	49.888	B
CmSNP01281	50.375	B
CmSI0842	50.685	B
CmSNP00668	50.866	B
CmSNP01315	50.883	B
CmSI0770	50.899	B
CmSNP00259	51.194	B
CmSNP00756	51.399	B
CmSI0495	51.539	B
CmSNP00438	51.782	B
CmSI0631	52.215	B
CmSI0565	52.357	B
CmSI0804	52.409	B
CmSNP00156	53.167	B
CmSNP00780	53.601	B
CmSNP00577	53.748	B
CmSI0266	53.908	B
CmSNP01002	54.006	B
CmSI0180	54.037	B
CmSNP00990	54.098	B
CmSNP00304	54.383	B
CmSNP00520	55.424	B
CmSNP00004	55.687	B
CmSNP01380	57.086	B
CmSI0509	57.385	B
CmSI0873_a	57.908	B
CmSNP01164	59.22	B
CmSNP00051	60.96	B
CmSI0550	61.096	B
CmSNP00779	61.192	B
CmSNP00620	62.049	B
CmSNP00378	62.055	B
CmSI0866	62.352	B
CmSNP00184	62.432	B
CmSI0715	63.644	B
CmSNP00889	65.595	B
CmSNP00186	65.831	B
CmSNP00883	66.822	B
CmSNP00851	67.514	B
CmSNP00086	67.604	B
CmSI0823	68.04	B
CmSNP00758	69.278	B
CmSNP01338	69.314	B
CmSNP00344	73.489	B
CmSI0027	73.954	B
CmSNP01036	74.688	B
CmSNP00567	75.241	B
