"","Chestnut_contig","value"
"227","contig0000382","D"
"228","contig0000382","A"
"229","contig0000383","H"
"230","contig0000383","E"
"254","contig0000425","E"
"255","contig0000425","L"
"332","contig0000544","E"
"333","contig0000544","D"
"2316","contig0006234","G"
"2317","contig0006234","L"
"2612","contig0012688","C"
"2613","contig0012688","B"
"2614","contig0012689","B"
"2615","contig0012689","C"
"2622","contig0012697","B"
"2623","contig0012697","C"
"2625","contig0012700","B"
"2626","contig0012700","C"
"2634","contig0012710","A"
"2635","contig0012710","H"
"2637","contig0012712","C"
"2638","contig0012712","B"
"2639","contig0012713","C"
"2640","contig0012713","B"
"2641","contig0012715","I"
"2642","contig0012715","F"
"2643","contig0012716","C"
"2644","contig0012716","B"
"2647","contig0012720","B"
"2648","contig0012720","C"
"2650","contig0012722","C"
"2651","contig0012722","B"
"2652","contig0012723","B"
"2653","contig0012723","C"
"2654","contig0012724","C"
"2655","contig0012724","B"
"2660","contig0012729","C"
"2661","contig0012729","B"
"2664","contig0012732","C"
"2665","contig0012732","B"
"2670","contig0012739","B"
"2671","contig0012739","C"
"2673","contig0012742","B"
"2674","contig0012742","C"
"2675","contig0012743","C"
"2676","contig0012743","B"
"2678","contig0012747","C"
"2679","contig0012747","B"
"2684","contig0012753","J"
"2685","contig0012753","E"
"2689","contig0012757","B"
"2690","contig0012757","C"
"2692","contig0012761","C"
"2693","contig0012761","B"
"2696","contig0012765","C"
"2697","contig0012765","B"
"2698","contig0012766","B"
"2699","contig0012766","C"
"2711","contig0012779","C"
"2712","contig0012779","B"
"2714","contig0012781","C"
"2715","contig0012781","B"
"2716","contig0012783","A"
"2717","contig0012783","C"
"2736","contig0012806","B"
"2737","contig0012806","C"
"2738","contig0012807","C"
"2739","contig0012807","B"
"2741","contig0012809","D"
"2742","contig0012809","B"
"2748","contig0012818","C"
"2749","contig0012818","B"
"2750","contig0012819","C"
"2751","contig0012819","B"
"2752","contig0012823","B"
"2753","contig0012823","C"
"2758","contig0012830","C"
"2759","contig0012830","B"
"2762","contig0012835","C"
"2763","contig0012835","B"
"2766","contig0012841","A"
"2767","contig0012841","J"
"2770","contig0012844","B"
"2771","contig0012844","C"
"2785","contig0012866","C"
"2786","contig0012866","B"
"2791","contig0012872","C"
"2792","contig0012872","B"
"2795","contig0012878","F"
"2796","contig0012878","K"
"2802","contig0012885","C"
"2803","contig0012885","B"
"2810","contig0012896","C"
"2811","contig0012896","B"
"2812","contig0012897","C"
"2813","contig0012897","B"
"2819","contig0012906","B"
"2820","contig0012906","C"
"2821","contig0012907","K"
"2822","contig0012907","J"
"2823","contig0012908","B"
"2824","contig0012908","C"
"2828","contig0012916","C"
"2829","contig0012916","B"
"2832","contig0012920","J"
"2833","contig0012920","A"
"2841","contig0012933","C"
"2842","contig0012933","B"
"2848","contig0012941","J"
"2849","contig0012941","G"
"2855","contig0012947","C"
"2856","contig0012947","B"
"2866","contig0012962","J"
"2867","contig0012962","E"
"2870","contig0012969","B"
"2871","contig0012969","C"
"2886","contig0012992","C"
"2887","contig0012992","B"
"2888","contig0012994","B"
"2889","contig0012994","C"
"2896","contig0013005","K"
"2897","contig0013005","E"
"2898","contig0013007","I"
"2899","contig0013007","J"
"2903","contig0013013","C"
"2904","contig0013013","B"
"2910","contig0013019","C"
"2911","contig0013019","B"
"2917","contig0013030","B"
"2918","contig0013030","C"
"2927","contig0013050","C"
"2928","contig0013050","B"
"2932","contig0013057","B"
"2933","contig0013057","C"
"2943","contig0013071","C"
"2944","contig0013071","B"
"2945","contig0013072","C"
"2946","contig0013072","B"
"2948","contig0013076","C"
"2949","contig0013076","B"
"2952","contig0013083","C"
"2953","contig0013083","B"
"2960","contig0013096","C"
"2961","contig0013096","B"
"2962","contig0013097","B"
"2963","contig0013097","C"
"2978","contig0013138","B"
"2979","contig0013138","C"
"2980","contig0013141","B"
"2981","contig0013141","C"
"3003","contig0013191","B"
"3004","contig0013191","C"
"3012","contig0013208","B"
"3013","contig0013208","C"
"3014","contig0013209","B"
"3015","contig0013209","C"
"3031","contig0013255","C"
"3032","contig0013255","B"
"3038","contig0013267","C"
"3039","contig0013267","B"
"3047","contig0013291","C"
"3048","contig0013291","B"
"3052","contig0013299","C"
"3053","contig0013299","B"
"3068","contig0013348","B"
"3069","contig0013348","C"
"3070","contig0013354","C"
"3071","contig0013354","B"
"3082","contig0013408","H"
"3083","contig0013408","C"
"3092","contig0013432","C"
"3093","contig0013432","B"
"3101","contig0013476","B"
"3102","contig0013476","C"
"3103","contig0013478","B"
"3104","contig0013478","C"
"3108","contig0013488","C"
"3109","contig0013488","B"
"3118","contig0013517","C"
"3119","contig0013517","I"
"3143","contig0013650","C"
"3144","contig0013650","B"
"3157","contig0013751","C"
"3158","contig0013751","B"
"3164","contig0013792","C"
"3165","contig0013792","B"
"3175","contig0013982","C"
"3176","contig0013982","B"
"3181","contig0014138","C"
"3182","contig0014138","B"
