Direction,Peach,Cm,contig,V2,start,stop,V13
-1,Pp04,contig0000003,contig0000004,Pp01,2794855,34482605,minus
-1,Pp04,contig0000003,contig0000008,Pp01,22093278,32584428,plus
-1,Pp04,contig0000003,contig0000010,Pp05,2574528,9311431,minus
-1,Pp01,contig0000003,contig0000011,Pp03,3864861,20068137,plus
-1,Pp01,contig0000004,contig0000017,Pp05,3305696,17471470,minus
-1,Pp01,contig0000004,contig0000019,Pp01,4143554,36070779,plus
-1,Pp01,contig0000004,contig0000020,Pp03,10357087,20812947,minus
-1,Pp01,contig0000004,contig0000021,Pp03,8911438,25686197,plus
-1,Pp01,contig0000004,contig0000026,Pp07,276044,4300545,minus
-1,Pp01,contig0000004,contig0000028,Pp05,15576007,15684676,minus
1,Pp01,contig0000004,contig0000029,Pp05,763755,16696547,minus
1,Pp01,contig0000004,contig0000031,Pp06,1132935,29006023,plus
1,Pp01,contig0000004,contig0000032,Pp01,2654895,45466286,minus
1,Pp01,contig0000004,contig0000035,Pp07,282635,20826776,plus
1,Pp01,contig0000004,contig0000036,Pp01,1167348,38096702,minus
-1,Pp01,contig0000005,contig0000037,Pp01,36213799,43195260,minus
-1,Pp01,contig0000005,contig0000049,Pp03,4595545,22316299,plus
-1,Pp01,contig0000005,contig0000053,Pp05,5903027,18072479,plus
-1,Pp01,contig0000005,contig0000056,Pp07,15887251,16019657,plus
-1,Pp01,contig0000005,contig0000060,Pp03,3618268,23059730,plus
-1,Pp01,contig0000005,contig0000063,Pp05,12368813,16714986,plus
-1,Pp01,contig0000005,contig0000064,Pp06,30678838,30677487,minus
1,Pp07,contig0000005,contig0000065,Pp07,269244,20838419,minus
1,Pp01,contig0000006,contig0000066,Pp04,4258959,4263170,plus
1,Pp01,contig0000006,contig0000067,Pp03,5867930,26945847,plus
1,Pp01,contig0000006,contig0000069,Pp03,21056469,26806902,minus
1,Pp01,contig0000006,contig0000070,Pp03,7522855,16686031,plus
1,Pp01,contig0000006,contig0000071,Pp01,1594937,1592281,minus
1,Pp01,contig0000006,contig0000072,Pp05,12958572,12976452,minus
1,Pp01,contig0000006,contig0000074,Pp06,29616120,29630026,minus
1,Pp01,contig0000006,contig0000079,Pp02,20141855,25500390,plus
1,Pp01,contig0000006,contig0000080,Pp01,4395594,44435504,plus
-1,Pp03,contig0000006,contig0000083,Pp02,23185802,23189588,plus
-1,Pp04,contig0000006,contig0000085,Pp03,16182687,18551210,minus
-1,Pp04,contig0000006,contig0000086,Pp03,20773881,20797803,minus
-1,Pp04,contig0000006,contig0000088,Pp02,1937444,25857146,minus
-1,Pp04,contig0000006,contig0000091,Pp01,8598387,19560326,minus
-1,Pp05,contig0000007,contig0000092,Pp02,24725491,26180232,minus
-1,Pp05,contig0000007,contig0000093,Pp04,330199,23542621,minus
-1,Pp05,contig0000007,contig0000094,Pp01,3664770,35031550,minus
-1,Pp05,contig0000007,contig0000095,Pp01,3700326,42705422,minus
1,Pp07,contig0000007,contig0000098,Pp01,545538,45314311,minus
-1,Pp05,contig0000007,contig0000103,Pp03,17963923,18346612,plus
-1,Pp05,contig0000007,contig0000104,Pp02,16179768,19781029,minus
1,Pp02,contig0000007,contig0000105,Pp05,5837836,11573043,plus
1,Pp04,contig0000008,contig0000106,Pp05,16477265,16573118,minus
-1,Pp06,contig0000008,contig0000108,Pp01,2425935,31682437,minus
1,Pp01,contig0000008,contig0000109,Pp01,4106158,4296081,minus
1,Pp01,contig0000008,contig0000111,Pp04,4944174,14321545,minus
1,Pp01,contig0000008,contig0000112,Pp01,4395594,40262266,minus
1,Pp01,contig0000008,contig0000116,Pp01,6977739,46520282,minus
1,Pp06,contig0000008,contig0000117,Pp01,10445947,47126991,plus
-1,Pp01,contig0000009,contig0000118,Pp03,2602608,24415893,plus
-1,Pp06,contig0000009,contig0000122,Pp01,1387640,43337655,minus
-1,Pp05,contig0000010,contig0000123,Pp06,2081868,6573048,minus
-1,Pp05,contig0000010,contig0000126,Pp01,22381551,46175050,minus
-1,Pp05,contig0000010,contig0000127,Pp02,1935269,20241344,plus
-1,Pp05,contig0000010,contig0000129,Pp04,8142178,9591223,plus
1,Pp04,contig0000010,contig0000133,Pp01,17512358,38932459,minus
-1,Pp04,contig0000011,contig0000139,Pp03,8906675,21644728,minus
-1,Pp03,contig0000011,contig0000149,Pp01,3666475,45713209,minus
-1,Pp03,contig0000011,contig0000154,Pp01,33329548,42790753,minus
-1,Pp03,contig0000011,contig0000155,Pp01,7467890,15035591,plus
-1,Pp03,contig0000011,contig0000156,Pp08,17442510,22357373,minus
-1,Pp03,contig0000011,contig0000158,Pp03,171381,17788893,plus
1,Pp03,contig0000011,contig0000160,Pp01,14599108,36290334,plus
-1,Pp01,contig0000011,contig0000161,Pp01,10605725,32186442,minus
1,Pp03,contig0000011,contig0000163,Pp01,2735984,2846110,minus
1,Pp03,contig0000011,contig0000165,Pp05,8459250,14847270,minus
1,Pp03,contig0000011,contig0000166,Pp05,12516641,12557808,minus
1,Pp03,contig0000011,contig0000168,Pp07,15214882,15277930,minus
1,Pp01,contig0000012,contig0000170,Pp06,1761701,30237290,minus
-1,Pp07,contig0000012,contig0000171,Pp02,17772703,20356829,plus
-1,Pp07,contig0000012,contig0000178,Pp06,28759930,28765467,minus
-1,Pp07,contig0000012,contig0000179,Pp01,15939815,22093278,minus
-1,Pp07,contig0000012,contig0000181,Pp06,4056088,6102251,plus
1,Pp07,contig0000012,contig0000184,Pp05,18018331,18199888,plus
1,Pp02,contig0000013,contig0000191,Pp03,1478265,24741309,minus
