"","Chestnut_contig","Contig_length"
"3","contig0000003",1055958
"4","contig0000004",756586
"5","contig0000005",745844
"6","contig0000006",708259
"7","contig0000007",685923
"8","contig0000008",684307
"10","contig0000010",609920
"11","contig0000011",598830
"13","contig0000013",568511
"15","contig0000015",565082
"16","contig0000016",563958
"19","contig0000019",558429
"20","contig0000020",549943
"22","contig0000022",540736
"26","contig0000026",520158
"28","contig0000028",511059
"31","contig0000031",496024
"33","contig0000033",493164
"35","contig0000035",484005
"36","contig0000036",480521
"38","contig0000038",469317
"45","contig0000045",457796
"46","contig0000046",454716
"49","contig0000049",441229
"52","contig0000052",435574
"57","contig0000057",418043
"58","contig0000058",416565
"61","contig0000061",402466
"68","contig0000068",391045
"71","contig0000071",385959
"74","contig0000074",382264
"79","contig0000079",378064
"81","contig0000081",370865
"83","contig0000083",370613
"85","contig0000085",368030
"89","contig0000089",365175
"116","contig0000116",341391
"118","contig0000118",339696
"120","contig0000120",337118
"123","contig0000123",336472
"144","contig0000144",321514
"153","contig0000153",317450
"155","contig0000155",316601
"157","contig0000157",316044
"158","contig0000158",315828
"169","contig0000169",310115
"175","contig0000175",307119
"178","contig0000178",305557
"185","contig0000185",302455
"188","contig0000188",300535
"192","contig0000192",299128
"196","contig0000196",297168
"201","contig0000201",295615
"204","contig0000204",294062
"225","contig0000225",286893
"239","contig0000239",283252
"244","contig0000244",279994
"257","contig0000257",273538
"263","contig0000263",272289
"266","contig0000266",271474
"270","contig0000270",271115
"272","contig0000272",271124
"277","contig0000277",266896
"286","contig0000286",265203
"290","contig0000290",263794
"297","contig0000297",262237
"304","contig0000304",261075
"311","contig0000311",259758
"314","contig0000314",259466
"325","contig0000325",257163
"326","contig0000326",256626
"329","contig0000329",256360
"332","contig0000332",254936
"334","contig0000334",253572
"362","contig0000362",246943
"367","contig0000367",245270
"374","contig0000374",243572
"376","contig0000376",242556
"378","contig0000378",242733
"379","contig0000379",242256
"391","contig0000391",240285
"392","contig0000392",240237
"393","contig0000393",240060
"404","contig0000404",238213
"408","contig0000408",237740
"411","contig0000411",237535
"415","contig0000415",235982
"419","contig0000419",235036
"428","contig0000428",230789
"431","contig0000431",229880
"435","contig0000435",229120
"453","contig0000453",225766
"461","contig0000461",224774
"463","contig0000463",224184
"481","contig0000481",220091
"504","contig0000504",215800
"532","contig0000532",211470
"543","contig0000543",210389
"546","contig0000546",209711
"563","contig0000563",207958
"570","contig0000570",206878
"577","contig0000577",205949
"583","contig0000583",204515
"589","contig0000589",204155
"593","contig0000593",203511
"597","contig0000597",203097
"598","contig0000598",203126
"621","contig0000621",200934
"631","contig0000631",200200
"654","contig0000654",198023
"655","contig0000655",198189
"657","contig0000657",197773
"665","contig0000665",196918
"683","contig0000683",194724
"685","contig0000685",194489
"694","contig0000694",193109
"697","contig0000697",192837
"701","contig0000701",192537
"704","contig0000704",192333
"706","contig0000706",191957
"714","contig0000714",191297
"726","contig0000726",189538
"728","contig0000728",189346
"731","contig0000731",188926
"736","contig0000736",188148
"743","contig0000743",187686
"763","contig0000763",184696
"777","contig0000777",182984
"778","contig0000778",183012
"797","contig0000797",180972
"815","contig0000815",179538
"846","contig0000846",175955
"848","contig0000848",175753
"864","contig0000864",174888
"866","contig0000866",174729
"874","contig0000874",174253
"875","contig0000875",174112
"888","contig0000888",172921
"890","contig0000890",172586
"893","contig0000893",172578
"895","contig0000895",172562
"901","contig0000901",172114
"905","contig0000905",171706
"925","contig0000925",170242
"932","contig0000932",169293
"937","contig0000937",169058
"953","contig0000953",167692
"954","contig0000954",167774
"973","contig0000973",165679
"1008","contig0001008",162417
"1014","contig0001014",161862
"1016","contig0001016",161505
"1021","contig0001021",161213
"1081","contig0001081",156908
"1098","contig0001098",155861
"1169","contig0001169",150360
"1170","contig0001170",150467
"1171","contig0001171",150180
"1194","contig0001194",148827
"1214","contig0001214",147465
"1224","contig0001224",146693
"1258","contig0001258",144757
"1265","contig0001265",144310
"1281","contig0001281",143916
"1315","contig0001315",141061
"1317","contig0001317",140659
"1334","contig0001334",139634
"1359","contig0001359",137511
"1417","contig0001417",133732
"1430","contig0001430",132939
"1495","contig0001495",130049
"1528","contig0001528",128436
"1530","contig0001530",128179
"1533","contig0001533",128219
"1581","contig0001581",125220
"1604","contig0001604",124251
"1619","contig0001619",123529
"1633","contig0001633",123196
"1642","contig0001642",122829
"1647","contig0001647",122618
"1681","contig0001681",120833
"1688","contig0001688",120517
"1730","contig0001730",118839
"1738","contig0001738",118333
"1744","contig0001744",117815
"1803","contig0001803",115391
"1818","contig0001818",114667
"1835","contig0001835",114159
"1838","contig0001838",114079
"1876","contig0001876",112686
"1891","contig0001891",112155
"1937","contig0001937",110444
"1949","contig0001949",110410
"1990","contig0001990",109051
"2045","contig0002045",107004
"2077","contig0002077",105922
"2078","contig0002078",105808
"2089","contig0002089",105426
"2166","contig0002166",102285
"2229","contig0002229",99996
"2329","contig0002329",97131
"2354","contig0002354",96057
"2392","contig0002392",94855
"2421","contig0002421",93560
"2457","contig0002457",92339
"2624","contig0002624",87428
"2713","contig0002713",85340
"2725","contig0002725",85052
"2747","contig0002747",84381
"2755","contig0002755",84361
"3096","contig0003096",75239
